ANIO,Registros_con_valor,Suma_USD,Promedio_USD
2007,389,237809742.0,611336.1
2008,412,257967781.0,626135.39
2009,420,198234122.0,471986.0
2010,406,258504746.0,636711.2
2011,404,299732525.0,741912.19
2012,398,320014192.0,804055.76
2013,419,338676576.0,808297.32
2014,417,355744805.0,853105.05
2015,417,338275233.0,811211.59
2016,412,325779875.0,790727.85
2017,430,358289053.0,833230.36
2018,501,406259743.0,810897.69
2019,487,420356699.0,863155.44
2020,498,375575730.0,754168.13
2021,505,441369513.0,873999.04
2022,495,520776748.0,1052074.24
2023,492,533773092.0,1084904.66
2024,505,559922280.0,1108756.99
2025,475,602421110.0,1268254.97
